FECHA;TOTAL CASOS;CASOS NUEVOS PCR;% CRECIMIENTO COVID*;% MEDIA MÓVIL 7 DÍAS*;CASOS RESIDENCIAS;C. RESID. ACTIVOS;PROF. SANITARIOS;P. SANIT. ACTIVOS;AISLAMIENTO DOM.;TOTAL HOSPITALIZADOS;HOSP. VALDECILLA;HOSP. LIENCRES;HOSP. LAREDO;HOSP. SIERRALLANA;HOSP. TRES MARES;HOSPITALIZADOS UCI;UCI HUMV;UCI SIERRALLANA;FALLECIDOS;RECUPERADOS;ACTIVOS;TOTAL TEST;TEST*100.000 HAB.;TEST PCR;TEST*100.000 HAB.;TEST ANTICUERPOS;TEST*100.000 HAB.;TEST ANTICUERPOS +
29/02/2020;1;1;100.00;0.00;0;;0;;;1;0;0;0;1;0;0;0;0;0;0;1;13;;13;;0;;0
01/03/2020;1;0;0.00;0.00;0;;0;;;1;0;0;0;1;0;0;0;0;0;0;1;13;;13;;0;;0
02/03/2020;10;9;900.00;0.00;0;;0;;;1;0;0;0;1;0;0;0;0;0;0;10;23;;23;;0;;0
03/03/2020;10;0;0.00;0.00;0;;0;;;1;0;0;0;1;0;0;0;0;0;0;10;47;;47;;0;;0
04/03/2020;10;0;0.00;0.00;0;;0;;;1;0;0;0;1;0;0;0;0;0;0;10;71;;71;;0;;0
05/03/2020;10;0;0.00;0.00;0;;0;;;1;0;0;0;1;0;0;0;0;0;0;10;75;;75;;0;;0
06/03/2020;11;1;10.00;144.29;0;;0;;;1;0;0;0;1;0;0;0;0;0;0;11;79;;79;;0;;0
07/03/2020;12;1;9.09;131.30;0;;0;;;1;0;0;0;1;0;0;0;0;0;0;12;84;;84;;0;;0
08/03/2020;12;0;0.00;131.30;0;;0;;;1;0;0;0;1;0;0;0;0;0;0;12;89;;89;;0;;0
09/03/2020;12;0;0.00;2.73;0;;0;;;1;0;0;0;1;0;0;0;0;0;0;12;96;;96;;0;;0
10/03/2020;12;0;0.00;2.73;0;;0;;;1;0;0;0;1;0;0;0;0;0;3;9;111;;111;;0;;0
11/03/2020;12;0;0.00;2.73;0;;0;;;4;2;0;0;2;0;1;1;0;0;4;8;145;;145;;0;;0
12/03/2020;20;8;66.67;12.25;0;;1;;;5;3;0;0;2;0;1;1;0;0;4;16;190;;190;;0;;0
13/03/2020;32;12;60.00;19.39;0;;1;;;6;4;0;0;2;0;1;1;0;0;5;27;240;;240;;0;;0
14/03/2020;49;17;53.13;25.68;0;;2;;;9;7;0;0;2;0;3;3;0;0;5;44;344;;344;;0;;0
15/03/2020;58;9;18.37;28.31;0;;3;;;10;8;0;0;2;0;3;3;0;0;6;52;422;;422;;0;;0
16/03/2020;61;3;5.17;29.05;0;;3;;;14;9;0;0;4;1;3;3;0;0;6;55;482;;482;;0;;0
17/03/2020;78;17;27.87;33.03;1;;5;;;27;18;0;1;7;1;4;4;0;1;6;71;617;;617;;0;;0
18/03/2020;114;36;46.15;39.62;2;;10;;;46;32;0;1;11;2;5;4;1;1;6;107;784;;784;;0;;0
19/03/2020;169;55;48.25;36.99;5;;19;;;74;53;0;4;14;3;7;6;1;1;6;162;1017;;1017;;0;;0
20/03/2020;228;59;34.91;33.41;6;;31;;;94;67;0;6;18;3;7;6;1;3;6;219;1353;;1353;;0;;0
21/03/2020;296;68;29.82;30.08;12;;38;;;121;82;0;11;25;3;11;9;2;6;6;284;1641;;1641;;0;;0
22/03/2020;368;72;24.32;30.93;29;;42;;;147;95;0;15;31;6;15;14;1;8;6;354;1925;;1925;;0;;0
23/03/2020;444;76;20.65;33.14;46;;46;;;187;118;0;18;43;8;20;16;4;12;6;426;2219;;2219;;0;;0
24/03/2020;532;88;19.82;31.99;55;;58;;;237;142;0;33;53;9;22;17;5;17;8;507;2928;;2928;;0;;0
25/03/2020;712;180;33.83;30.23;87;;74;;;298;163;0;50;72;13;24;19;5;19;11;682;3576;;3576;;0;;0
26/03/2020;855;143;20.08;26.21;120;;85;;477;345;187;0;61;85;12;29;23;6;25;12;818;4297;;4297;;0;;0
27/03/2020;953;98;11.46;22.86;142;;97;;549;367;194;0;61;98;14;36;28;8;28;14;911;4931;;4931;;0;;0
28/03/2020;1038;85;8.92;19.87;177;;103;;605;391;212;0;65;100;14;38;30;8;31;18;989;5417;;5417;;0;;0
29/03/2020;1125;87;8.38;17.59;201;;109;;696;386;209;0;60;103;14;41;32;9;34;18;1073;5730;;5730;;0;;0
30/03/2020;1183;58;5.16;15.38;215;;114;;722;403;226;0;52;111;14;45;34;11;49;20;1114;6225;;6225;;0;;0
31/03/2020;1240;57;4.82;13.24;233;;121;;770;386;215;0;51;105;15;47;35;12;60;30;1150;6817;;6817;;0;;0
01/04/2020;1278;38;3.06;8.84;235;;133;;818;355;203;5;45;96;11;47;35;12;64;44;1170;7449;;7449;;0;;0
02/04/2020;1351;73;5.71;6.79;269;;147;;889;341;205;14;33;91;12;47;35;12;72;52;1227;8076;;8076;;0;;0
03/04/2020;1420;69;5.11;5.88;298;;154;;914;340;205;18;33;89;13;47;35;12;74;79;1267;8660;;8660;;0;;0
04/04/2020;1460;40;2.82;5.01;306;;159;;956;333;202;16;34;84;13;43;31;12;79;87;1294;9167;;9167;;0;;0
05/04/2020;1488;28;1.92;4.08;325;;160;;960;347;210;14;34;89;14;43;32;11;87;88;1313;9374;;9374;;0;;0
06/04/2020;1520;31;2.08;3.65;334;;160;;986;310;190;19;30;75;15;40;31;9;95;109;1316;9845;;9825;;20;;1
07/04/2020;1593;70;4.61;3.62;373;;164;;1023;292;172;19;33;80;16;41;32;9;99;140;1354;10571;;10505;;66;;3
08/04/2020;1653;52;3.27;3.65;389;;167;;1054;288;166;18;36;75;17;38;28;10;104;169;1380;11264;;11147;;117;;8
09/04/2020;1690;34;2.07;3.13;399;;170;;1034;290;167;21;35;77;16;39;28;11;108;190;1392;11718;;11543;;175;;3
10/04/2020;1758;63;3.76;2.93;443;;176;;1080;292;167;20;35;73;16;36;26;10;117;207;1434;12222;;11961;;261;;5
11/04/2020;1784;24;1.38;2.73;454;;179;;1088;291;162;21;32;80;16;35;25;10;121;216;1447;12566;;12233;;333;;2
12/04/2020;1831;27;1.53;2.67;493;;179;;1104;295;163;20;33;79;19;33;24;9;129;230;1472;12928;;12566;;362;;20
13/04/2020;1844;13;0.73;2.48;498;;180;;1125;278;157;14;30;72;18;30;22;8;135;243;1466;13184;;12822;;362;;0
14/04/2020;1877;25;1.39;2.02;516;;181;;1135;249;137;9;27;65;19;29;22;7;141;280;1456;14005;;13453;;552;;8
15/04/2020;1902;25;1.37;1.75;528;;182;;1086;239;131;14;25;63;18;26;19;7;147;339;1416;14777;;14175;;602;;0
16/04/2020;1962;31;1.67;1.69;545;;187;;1093;218;127;16;19;54;16;22;17;5;150;387;1425;15782;;14801;;981;;29
17/04/2020;2000;24;1.27;1.33;562;;220;;1123;196;118;18;11;48;16;20;16;4;156;445;1399;16799;;15497;;1302;;14
18/04/2020;2052;46;2.41;1.48;599;;224;;1092;199;114;19;13;47;16;20;16;4;160;465;1427;17346;;15919;;1427;;6
19/04/2020;2092;33;1.69;1.50;631;;224;;1104;207;117;19;13;51;17;17;14;3;164;471;1457;17998;;16381;;1617;;7
20/04/2020;2124;13;0.65;1.49;643;;235;;1120;196;110;19;13;43;16;18;14;4;169;520;1435;18947;;16986;;1961;;19
21/04/2020;2163;17;0.85;1.42;650;;247;;1095;185;104;19;10;43;16;18;14;4;173;593;1397;20303;;17756;;2547;;22
22/04/2020;2216;18;0.89;1.35;653;;274;;1016;179;103;19;9;41;15;17;13;4;177;659;1380;22148;;18686;;3462;;35
23/04/2020;2280;26;1.28;1.29;657;;296;;1048;143;73;16;8;40;16;11;7;4;180;728;1372;24154;;19631;;4523;;38
24/04/2020;2318;13;0.63;1.20;664;;313;;963;130;68;13;7;39;12;9;6;3;183;766;1369;25732;;20239;;5493;;25
25/04/2020;2334;15;0.72;0.96;667;;316;;888;137;70;12;10;42;12;9;6;3;187;878;1269;26305;;20790;;5515;;1
26/04/2020;2357;23;1.10;0.88;677;;316;;787;132;67;10;7;43;12;9;6;3;191;929;1237;26776;;21247;;5529;;0
27/04/2020;2396;10;0.47;0.85;681;;330;;790;117;62;7;5;36;12;8;5;3;192;1000;1204;28251;;21875;;6376;;29
