"date","province","ccaa","new_cases","PCR","TestAc","activos","hospitalized","intensive_care","deceased","cases_accumulated","cases_accumulated_PCR","recovered","source_name","source","comments"
"2020-02-24","Araba/Álava","País Vasco","0","","","","","","","0","","","Gobierno de Euskadi","https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf",""
"2020-02-25","Araba/Álava","País Vasco","0","","","","","","","0","","","Gobierno de Euskadi","https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf",""
"2020-02-26","Araba/Álava","País Vasco","0","","","","","","","0","","","Gobierno de Euskadi","https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf",""
"2020-02-27","Araba/Álava","País Vasco","0","","","","","","","0","","","Gobierno de Euskadi","https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf",""
"2020-02-28","Araba/Álava","País Vasco","0","","","","","","","0","","","Gobierno de Euskadi","https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf",""
"2020-02-29","Araba/Álava","País Vasco","1","","","","","","","1","","","Gobierno de Euskadi","https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf",""
"2020-03-01","Araba/Álava","País Vasco","1","","","","","","","2","","","Gobierno de Euskadi","https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf",""
"2020-03-02","Araba/Álava","País Vasco","0","","","","","","","2","","","Gobierno de Euskadi","https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf",""
"2020-03-03","Araba/Álava","País Vasco","2","","","","","","","4","","","Gobierno de Euskadi","https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf",""
"2020-03-04","Araba/Álava","País Vasco","2","","","","","","","6","","","Gobierno de Euskadi","https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf",""
"2020-03-05","Araba/Álava","País Vasco","16","","","","","","","22","","","Gobierno de Euskadi","https://www.euskadi.eus/contenidos/informacion/boletin_coronavirus/es_def/adjuntos/3_abril_Boletin.pdf",""
